member_id,last_contact_utc,outcome
1,2025-10-22T01:52:06Z,ok
2,2025-10-19T02:52:06Z,no_answer
3,2025-10-19T20:52:06Z,ok
4,2025-10-31T10:52:06Z,escalate
5,2025-10-20T14:52:06Z,ok
6,2025-10-16T22:52:06Z,ok
7,2025-10-16T19:52:06Z,no_answer
8,2025-10-27T08:52:06Z,ok
9,2025-10-28T03:52:06Z,escalate
10,2025-11-04T15:52:06Z,ok
11,2025-10-30T20:52:06Z,escalate
12,2025-11-03T07:52:06Z,no_answer
13,2025-10-23T12:52:06Z,ok
14,2025-10-26T23:52:06Z,escalate
15,2025-10-25T12:52:06Z,ok
16,2025-11-01T21:52:06Z,ok
17,2025-11-02T06:52:06Z,escalate
18,2025-10-18T04:52:06Z,ok
19,2025-10-23T16:52:06Z,escalate
20,2025-10-19T21:52:06Z,no_answer
21,2025-10-25T18:52:06Z,escalate
22,2025-10-23T06:52:06Z,no_answer
23,2025-10-17T22:52:06Z,escalate
24,2025-11-04T11:52:06Z,no_answer
25,2025-11-05T07:52:06Z,ok
26,2025-10-22T20:52:06Z,ok
27,2025-10-19T19:52:06Z,ok
28,2025-10-24T07:52:06Z,ok
29,2025-11-02T11:52:06Z,escalate
30,2025-11-02T09:52:06Z,no_answer
31,2025-10-27T12:52:06Z,escalate
32,2025-10-17T10:52:06Z,no_answer
33,2025-10-17T19:52:06Z,ok
34,2025-10-30T12:52:06Z,escalate
35,2025-10-24T02:52:06Z,no_answer
36,2025-11-04T03:52:06Z,ok
37,2025-10-15T22:52:06Z,no_answer
38,2025-11-03T07:52:06Z,escalate
39,2025-10-23T03:52:06Z,no_answer
40,2025-10-25T09:52:06Z,ok
41,2025-10-18T00:52:06Z,no_answer
42,2025-10-18T06:52:06Z,no_answer
43,2025-10-29T23:52:06Z,ok
44,2025-10-22T02:52:06Z,ok
45,2025-10-19T11:52:06Z,ok
46,2025-10-21T11:52:06Z,escalate
47,2025-10-25T00:52:06Z,no_answer
48,2025-10-27T01:52:06Z,ok
49,2025-11-02T15:52:06Z,no_answer
50,2025-11-03T03:52:06Z,ok
